"Clade","Bank","Introduced_SR","Native_SR","Total_SR"
"Squamata","anguilla",10,14,24
"Squamata","antigua",2,8,10
"Squamata","aruba",9,10,19
"Squamata","aves",0,1,1
"Squamata","barbados",6,6,12
"Squamata","bermuda",4,1,5
"Squamata","blanquilla",0,8,8
"Squamata","bonaire",2,8,10
"Squamata","caicos",4,10,14
"Squamata","cay sal",0,5,5
"Squamata","cayman brac",3,10,13
"Squamata","chinchorro",0,5,5
"Squamata","conception",0,5,5
"Squamata","corn",4,17,21
"Squamata","cozumel",2,18,20
"Squamata","crooked acklins",0,8,8
"Squamata","cuba",8,147,155
"Squamata","curacao",6,10,16
"Squamata","desecheo",0,5,5
"Squamata","dominica",4,12,16
"Squamata","glover",3,2,5
"Squamata","grand cayman",9,10,19
"Squamata","great bahama",12,20,31
"Squamata","great inagua",2,9,11
"Squamata","grenada",5,18,23
"Squamata","guadeloupe",6,20,26
"Squamata","guanaja",3,16,19
"Squamata","hispaniola",5,173,178
"Squamata","iles des saintes",2,7,9
"Squamata","ilsa de providencia",1,10,11
"Squamata","jamaica",3,36,39
"Squamata","klein curacao",1,3,4
"Squamata","las aves",0,11,11
"Squamata","lighthouse atoll",1,4,5
"Squamata","little bahama",12,6,18
"Squamata","little cayman",3,8,11
"Squamata","little inagua",1,3,4
"Squamata","marie galante",3,8,11
"Squamata","martinique",6,12,18
"Squamata","mayaguana",2,2,4
"Squamata","mira por vos",0,1,1
"Squamata","mona",2,8,10
"Squamata","monito",0,3,3
"Squamata","monjes",0,1,1
"Squamata","montserrat",4,9,13
"Squamata","morant",1,1,2
"Squamata","navassa",0,8,8
"Squamata","orchila",1,5,6
"Squamata","pedro",0,2,2
"Squamata","plana cays",0,4,4
"Squamata","puerto rico",10,52,62
"Squamata","redonda",1,4,5
"Squamata","roatan",3,21,24
"Squamata","roques",1,6,7
"Squamata","rum cay",0,6,6
"Squamata","saba",1,6,7
"Squamata","samana",0,3,3
"Squamata","san andres",1,10,11
"Squamata","san salvador",1,6,7
"Squamata","sombrero",0,3,3
"Squamata","st christopher",8,9,17
"Squamata","st croix",4,9,13
"Squamata","st lucia",6,14,20
"Squamata","st vincent",3,12,15
"Squamata","swan",0,11,11
"Squamata","testigos",0,10,10
"Squamata","tobago",4,39,43
"Squamata","tortuga",0,5,5
"Squamata","trinidad",7,63,70
"Squamata","turks",2,7,9
"Squamata","turneffe",1,3,4
"Squamata","utila",7,23,30
"Iguania","anguilla",4,4,8
"Iguania","antigua",0,3,3
"Iguania","aruba",2,2,4
"Iguania","aves",0,1,1
"Iguania","barbados",1,1,2
"Iguania","bermuda",4,0,4
"Iguania","blanquilla",0,3,3
"Iguania","bonaire",0,2,2
"Iguania","caicos",1,4,5
"Iguania","cay sal",0,2,2
"Iguania","cayman brac",2,4,6
"Iguania","chinchorro",0,3,3
"Iguania","conception",0,3,3
"Iguania","corn",0,5,5
"Iguania","cozumel",0,6,6
"Iguania","crooked acklins",0,4,4
"Iguania","cuba",1,71,72
"Iguania","curacao",0,3,3
"Iguania","desecheo",0,1,1
"Iguania","dominica",1,2,3
"Iguania","glover",2,1,3
"Iguania","grand cayman",5,4,9
"Iguania","great bahama",4,9,12
"Iguania","great inagua",0,2,2
"Iguania","grenada",1,4,5
"Iguania","guadeloupe",0,6,6
"Iguania","guanaja",0,4,4
"Iguania","hispaniola",2,76,78
"Iguania","iles des saintes",0,3,3
"Iguania","ilsa de providencia",1,2,3
"Iguania","jamaica",1,7,8
"Iguania","klein curacao",1,0,1
"Iguania","las aves",0,4,4
"Iguania","lighthouse atoll",1,3,4
"Iguania","little bahama",4,2,6
"Iguania","little cayman",2,3,5
"Iguania","little inagua",0,1,1
"Iguania","marie galante",1,2,3
"Iguania","martinique",1,3,4
"Iguania","mayaguana",1,1,2
"Iguania","mira por vos",0,1,1
"Iguania","mona",0,2,2
"Iguania","monito",0,1,1
"Iguania","monjes",0,0,0
"Iguania","montserrat",0,2,2
"Iguania","morant",0,0,0
"Iguania","navassa",0,3,3
"Iguania","orchila",0,1,1
"Iguania","pedro",0,0,0
"Iguania","plana cays",0,3,3
"Iguania","puerto rico",3,15,18
"Iguania","redonda",0,1,1
"Iguania","roatan",1,6,7
"Iguania","roques",0,1,1
"Iguania","rum cay",0,3,3
"Iguania","saba",0,2,2
"Iguania","samana",0,2,2
"Iguania","san andres",1,2,3
"Iguania","san salvador",0,4,4
"Iguania","sombrero",0,1,1
"Iguania","st christopher",2,3,5
